1,2,3,4,5,6,7,8,9,10
0,899.035676,1153.79417,1900.829474,2673.630513,2405.446727,2031.954978,2976.041218,3283.224719,3094.628464
899.035676,0,1326.112156,1701.514694,2631.547535,1508.787564,1252.366613,2123.404608,2768.249318,2334.987691
1153.79417,1326.112156,0,852.5101723,1520.848513,2405.395975,1697.592015,2677.254935,2371.184516,2548.993797
1900.829474,1701.514694,852.5101723,0,951.247034,2202.644027,1373.14532,2212.345097,1531.163829,1913.537877
2673.630513,2631.547535,1520.848513,951.247034,0,3075.103161,2240.316401,2925.455437,1616.812374,2469.543208
2405.446727,1508.787564,2405.395975,2202.644027,3075.103161,0,836.0535733,805.9689236,2324.551634,1337.980154
2031.954978,1252.366613,1697.592015,1373.14532,2240.316401,836.0535733,0,994.1940544,1694.422134,1083.107639
2976.041218,2123.404608,2677.254935,2212.345097,2925.455437,805.9689236,994.1940544,0,1792.78363,648.1116181
3283.224719,2768.249318,2371.184516,1531.163829,1616.812374,2324.551634,1694.422134,1792.78363,0,1164.556458
3094.628464,2334.987691,2548.993797,1913.537877,2469.543208,1337.980154,1083.107639,648.1116181,1164.556458,0
