TAZID,longitude,latitude,charge_count,area,perimeter
1,113.9213878,22.5393958,124,998873.7796,4162.7267
2,113.9199021,22.5314284,70,1074909.185,4437.0676
3,113.9318867,22.5357753,106,1963022.086,6447.5728
4,113.936237,22.529235,72,1099229.233,4338.1408
5,113.9454284,22.5302476,108,1174176.943,4442.4486
6,113.91868,22.5178365,271,1405268.834,5460.2638
7,113.9257887,22.521524,59,387839.4781,2688.324
8,113.9241926,22.5126697,290,765505.0295,3724.5077
9,113.9412139,22.5161759,30,2444494.523,6236.0308
10,113.9304883,22.5127874,70,617467.4387,3330.0106
